department,open_roles,distinct_location_strings,captured,evidence
Sales,89,16,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Engineering,57,10,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Customer Experience,38,13,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Marketing,24,7,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Solutions Consulting,23,7,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Partnerships,16,5,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Growth,15,4,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Information Technology,13,6,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
People,7,6,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Business Development,5,4,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Finance,4,3,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
GTM Strategy,2,2,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
GTM Operations,1,1,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Legal,1,1,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Product,1,1,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Confidential,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Executive,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
IGNORE - HIDE CUSTOM FIELDS,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
No Department,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Social Impact,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
Test Department,0,0,2026-09-02,"company-own (public ATS board, unauthenticated JSON)"
