form,filed,period,accession,primary_doc,description,items,url,evidence
4,2026-08-28,2026-08-27,0001888935-26-000025,xslF345X06/wk-form4_1787950490.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000025/xslF345X06/wk-form4_1787950490.xml,statutory (SEC EDGAR)
144,2026-08-27,,0001950047-26-008765,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008765/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-27,,0001950047-26-008752,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008752/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-08-26,2026-08-24,0002078285-26-000007,xslF345X06/wk-form4_1787775610.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000207828526000007/xslF345X06/wk-form4_1787775610.xml,statutory (SEC EDGAR)
4,2026-08-26,2026-08-24,0001888935-26-000023,xslF345X06/wk-form4_1787775577.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000023/xslF345X06/wk-form4_1787775577.xml,statutory (SEC EDGAR)
144,2026-08-26,,0001950047-26-008708,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008708/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-24,,0001950047-26-008611,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008611/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-24,,0001950047-26-008610,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008610/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-08-21,2026-08-19,0002060697-26-000016,xslF345X06/wk-form4_1787346261.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000016/xslF345X06/wk-form4_1787346261.xml,statutory (SEC EDGAR)
4,2026-08-21,2026-08-19,0001888935-26-000021,xslF345X06/wk-form4_1787346199.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000021/xslF345X06/wk-form4_1787346199.xml,statutory (SEC EDGAR)
144,2026-08-19,,0001950047-26-008405,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008405/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-19,,0001950047-26-008395,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008395/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-08-19,2026-08-17,0001889225-26-000008,xslF345X06/wk-form4_1787170616.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922526000008/xslF345X06/wk-form4_1787170616.xml,statutory (SEC EDGAR)
4,2026-08-19,2026-08-17,0002078285-26-000005,xslF345X06/wk-form4_1787170499.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000207828526000005/xslF345X06/wk-form4_1787170499.xml,statutory (SEC EDGAR)
4,2026-08-19,2026-08-17,0001888932-26-000011,xslF345X06/wk-form4_1787170463.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893226000011/xslF345X06/wk-form4_1787170463.xml,statutory (SEC EDGAR)
4,2026-08-19,2026-08-17,0001888935-26-000019,xslF345X06/wk-form4_1787170425.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000019/xslF345X06/wk-form4_1787170425.xml,statutory (SEC EDGAR)
4,2026-08-19,2026-08-17,0002060697-26-000014,xslF345X06/wk-form4_1787170394.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000014/xslF345X06/wk-form4_1787170394.xml,statutory (SEC EDGAR)
4,2026-08-14,2026-08-13,0001888935-26-000017,xslF345X06/wk-form4_1786740373.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000017/xslF345X06/wk-form4_1786740373.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-08-14,,0001665603-26-000009,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000166560326000009/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-13,,0001950047-26-008107,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726008107/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-08-12,2026-08-10,0002060697-26-000012,xslF345X06/wk-form4_1786569939.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000012/xslF345X06/wk-form4_1786569939.xml,statutory (SEC EDGAR)
4,2026-08-11,2026-08-07,0001888935-26-000015,xslF345X06/wk-form4_1786481852.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000015/xslF345X06/wk-form4_1786481852.xml,statutory (SEC EDGAR)
144,2026-08-11,,0001950047-26-007957,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007957/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-10,,0001950047-26-007897,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007897/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-08-07,,0001950047-26-007809,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007809/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-08-06,,0000315066-26-001973,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000031506626001973/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G,2026-07-31,,0002100121-26-000932,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000210012126000932/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-07-27,,0002012383-26-002209,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000201238326002209/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
144,2026-07-20,,0001950047-26-007210,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007210/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-07-16,2026-07-15,0002060697-26-000010,xslF345X06/wk-form4_1784237387.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000010/xslF345X06/wk-form4_1784237387.xml,statutory (SEC EDGAR)
4,2026-07-16,2026-07-14,0001888935-26-000013,xslF345X06/wk-form4_1784232572.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000013/xslF345X06/wk-form4_1784232572.xml,statutory (SEC EDGAR)
144,2026-07-15,,0001950047-26-007134,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007134/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-07-15,,0001950047-26-007113,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007113/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2026-07-14,,0001950047-26-007066,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726007066/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
8-K,2026-07-02,2026-06-30,0001676238-26-000033,brz-20260630.htm,8-K,"5.03,5.07,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623826000033/brz-20260630.htm,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001707744-26-000017,xslF345X06/wk-form4_1783024637.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000170774426000017/xslF345X06/wk-form4_1783024637.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001583097-26-000007,xslF345X06/wk-form4_1783024580.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000158309726000007/xslF345X06/wk-form4_1783024580.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001120741-26-000002,xslF345X06/wk-form4_1783024398.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000112074126000002/xslF345X06/wk-form4_1783024398.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001200465-26-000005,xslF345X06/wk-form4_1783024345.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000120046526000005/xslF345X06/wk-form4_1783024345.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001801288-26-000008,xslF345X06/wk-form4_1783024301.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000180128826000008/xslF345X06/wk-form4_1783024301.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001532809-26-000007,xslF345X06/wk-form4_1783024231.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000153280926000007/xslF345X06/wk-form4_1783024231.xml,statutory (SEC EDGAR)
144,2026-06-26,,0001950047-26-006568,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726006568/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-06-26,2026-06-24,0001888935-26-000011,xslF345X06/wk-form4_1782505452.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000011/xslF345X06/wk-form4_1782505452.xml,statutory (SEC EDGAR)
4,2026-06-09,2026-06-05,0001532809-26-000005,xslF345X06/form4-06092026_090622.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000153280926000005/xslF345X06/form4-06092026_090622.xml,statutory (SEC EDGAR)
SCHEDULE 13G,2026-06-05,,0000315066-26-001413,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000031506626001413/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
4,2026-06-02,2026-05-29,0001426395-26-000004,xslF345X06/wk-form4_1780431671.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000142639526000004/xslF345X06/wk-form4_1780431671.xml,statutory (SEC EDGAR)
