period_end,period,AccountsReceivableNetCurrent,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ContractWithCustomerLiabilityCurrent,CostOfRevenue,EarningsPerShareBasic,EarningsPerShareDiluted,GeneralAndAdministrativeExpense,Goodwill,GrossProfit,IntangibleAssetsNetExcludingGoodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,PaymentsToAcquireBusinessesNetOfCashAcquired,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,SellingAndMarketingExpense,ShareBasedCompensation,StockholdersEquity,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2019-01-31,FY2019 as at 2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,-78886000,,
2020-01-31,FY2020,,,,,,35686000,-1.96,-1.96,16524000,,60678000,,,,1257000,-87234000,-7365000,-31810000,94211000,-33533000,,20339000,96364000,,57348000,12408000,-86876000,16189000,16189000
2020-07-31,FY2021 as at 2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,-96020000,,
2020-10-31,FY2021 as at 2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,-100650000,,
2021-01-31,FY2021,34771000,171394000,133958000,28509000,74789000,54511000,-1.77,-1.77,27959000,,95680000,,103439000,101132000,4866000,22472000,-6080000,-31752000,127832000,-32152000,,29212000,150191000,234200000,70661000,7540000,-108507000,17972000,17972000
2021-04-30,FY2022 as at 2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,249600000,,,-111997000,,
2021-07-31,FY2022 as at 2021-07-31,,,,,,,,,,,,,,,,,,,,,,,,268200000,,,-117459000,,
2021-10-31,FY2022 as at 2021-10-31,36026000,184086000,130599000,41976000,98427000,,,,,,,,124700000,122439000,,,,,,,,,,304000000,,,-118486000,,
2022-01-31,FY2022,64504000,666262000,608185000,478937000,126260000,78511000,-2.2,-2.2,51564000,,159524000,,161444000,159966000,467910000,18040000,-35398000,-76719000,237735000,-78211000,0,59034000,238035000,373600000,127137000,47180000,501583000,34897000,34897000
2022-04-30,FY2023 as at 2022-04-30,42663000,716298000,598765000,90610000,139437000,,,,,,,,228754000,180979000,,,,,,,,,,390900000,,,484673000,,
2022-07-31,FY2023 as at 2022-07-31,47973000,702093000,580904000,80881000,135794000,,,,,,,,229198000,184306000,,,,,,,,,,410500000,,,470551000,,
2022-10-31,FY2023 as at 2022-10-31,58299000,677418000,556156000,45390000,140681000,,,,,,,,223204000,181675000,,,,,,,,,,408700000,,,452402000,,
2023-01-31,FY2023,78338000,705406000,583171000,68587000,166092000,115818000,-1.47,-1.47,88771000,0,239608000,500000,258648000,217303000,11332000,-398519000,-22308000,-138966000,387748000,-148140000,0,97293000,355426000,455700000,201684000,72243000,445303000,94569000,94569000
2023-04-30,FY2024 as at 2023-04-30,66649000,721293000,598108000,116932000,181216000,,,,,,,,285061000,245036000,,,,,,,,,,477500000,,,435149000,,
2023-07-31,FY2024 as at 2023-07-31,70133000,732140000,574035000,77302000,176803000,,,,,28045000,,4122000,291041000,248468000,,,,,,,,,,523500000,,,440371000,,
2023-10-31,FY2024 as at 2023-10-31,71332000,768915000,566752000,60470000,178564000,,,,,28112000,,3907000,330184000,248339000,,,,,,,,,,560100000,,,438238000,,
2024-01-31,FY2024,92256000,810941000,601121000,68228000,204269000,147527000,-1.32,-1.32,101977000,28448000,324273000,3690000,366516000,289439000,13109000,-19976000,6850000,-129166000,468965000,-144692000,16319000,119863000,471800000,639200000,247125000,97232000,444233000,98096000,98096000
2024-04-30,FY2025 as at 2024-04-30,81632000,816126000,598943000,74801000,229330000,,,,,28448000,,3472000,379893000,305646000,,,,,,,,,,657300000,,,436107000,,
2024-07-31,FY2025 as at 2024-07-31,71257000,825575000,606422000,79119000,212145000,,,,,28448000,,3332000,371906000,298057000,,,,,,,,,,689600000,,,453693000,,
2024-10-31,FY2025 as at 2024-10-31,90299000,842012000,613321000,61312000,223682000,,,,,28448000,,3231000,384199000,308231000,,,,,,,,,,716800000,,,458053000,,
2025-01-31,FY2025,95234000,870998000,644026000,83062000,239976000,183191000,-1.02,-1.02,116093000,28448000,410219000,3130000,396249000,324477000,11695000,-36470000,36680000,-103743000,532378000,-122159000,0,133969000,593410000,793100000,282316000,115140000,474861000,102189000,102189000
2025-04-30,FY2026 as at 2025-04-30,86093000,889134000,659139000,231499000,265015000,,,,,28448000,,3029000,414675000,343863000,,,,,,,,,,829300000,,,474426000,,
2025-07-31,FY2026 as at 2025-07-31,88224000,1022537000,484505000,80979000,262113000,,,,,267778000,,67643000,423487000,353661000,,,,,,,,,,862200000,,,598881000,,
2025-10-31,FY2026 as at 2025-10-31,90196000,1041285000,502040000,97815000,271397000,,,,,266981000,,64527000,438886000,369367000,,,,,,,,,,891400000,,,602032000,,
2026-01-31,FY2026,122350000,1113757000,567926000,124342000,304560000,242525000,-1.22,-1.22,146259000,261857000,495657000,61487000,489601000,420414000,22960000,-50907000,71438000,-131287000,640414000,-144757000,181854000,167143000,738182000,1033000000,327012000,143738000,623767000,107906000,107906000
2026-04-30,FY2027 as at 2026-04-30,118471000,1091039000,546675000,145289000,342519000,,,,,262120000,,58447000,507878000,441480000,,,,,,,,,,1079200000,,,581673000,,
