period_end,period,CostOfRevenue,EarningsPerShareBasic,EarningsPerShareDiluted,GeneralAndAdministrativeExpense,GrossProfit,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,PaymentsToAcquireBusinessesNetOfCashAcquired,ResearchAndDevelopmentExpense,RevenueFromContractWithCustomerExcludingAssessedTax,SellingAndMarketingExpense,ShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2020-10-31,FY2021 Q3,14431000,-0.47,-0.47,7142000,24901000,5100000,19644000,-6100000,-8813000,33689000,-8788000,,7410000,39332000,19137000,5002000,18633000,18633000
2021-04-30,FY2022 Q1,15807000,-0.65,-0.65,8947000,32070000,1965000,17153000,-3807000,-12834000,45095000,-13025000,,11797000,47877000,24351000,6956000,19669000,19669000
2021-07-31,FY2022 Q2,18755000,-0.6,-0.6,10064000,37001000,2584000,18885000,-8414000,-12228000,49151000,-12150000,,11595000,55756000,27492000,12606000,20329000,20329000
2021-10-31,FY2022 Q3,19174000,-0.42,-0.42,12936000,44794000,4604000,19789000,-10868000,-8722000,55242000,-10448000,,12738000,63968000,29568000,18036000,20717000,20717000
2022-04-30,FY2023 Q1,25906000,-0.42,-0.42,23574000,51589000,2630000,-407803000,17921000,-39269000,91238000,-39649000,,21620000,77495000,46044000,16971000,93250000,93250000
2022-07-31,FY2023 Q2,27352000,-0.35,-0.35,20543000,58779000,5411000,-403799000,1600000,-32886000,93886000,-35107000,0,23336000,86131000,50007000,34253000,94103000,94103000
2022-10-31,FY2023 Q3,29135000,-0.35,-0.35,22430000,63990000,7213000,-416542000,-22320000,-33360000,100854000,-36864000,0,25583000,93125000,52841000,53394000,94469000,94469000
2023-04-30,FY2024 Q1,32687000,-0.4,-0.4,23983000,69093000,2211000,24297000,22549000,-38454000,110990000,-41897000,,29745000,101780000,57262000,24179000,96353000,96353000
2023-07-31,FY2024 Q2,35474000,-0.33,-0.33,25453000,79633000,7333000,-3488000,5032000,-31694000,115002000,-35369000,16318000,29132000,115107000,60417000,49002000,97180000,97180000
2023-10-31,FY2024 Q3,36374000,-0.31,-0.31,26448000,87582000,9006000,-19479000,3029000,-30741000,122715000,-35133000,16319000,29872000,123956000,66395000,72961000,97880000,97880000
2024-04-30,FY2025 Q1,44548000,-0.35,-0.35,26791000,90911000,-1881000,-10604000,19395000,-35641000,130991000,-40080000,,34373000,135459000,69827000,28620000,100788000,100788000
2024-07-31,FY2025 Q2,43420000,-0.23,-0.23,28319000,102079000,4041000,-27431000,31007000,-22999000,130029000,-27950000,0,33141000,145499000,68569000,58756000,101449000,101449000
2024-10-31,FY2025 Q3,45910000,-0.27,-0.27,31199000,106142000,5518000,-35629000,19597000,-27911000,138712000,-32570000,0,32855000,152052000,74658000,87184000,102146000,102146000
2025-04-30,FY2026 Q1,50857000,-0.34,-0.34,40500000,111202000,605000,122837000,24144000,-35786000,151424000,-40222000,,36797000,162059000,74127000,30643000,104572000,104572000
2025-07-31,FY2026 Q2,58221000,-0.26,-0.26,36794000,121890000,8083000,-37713000,31096000,-27899000,160643000,-38753000,181200000,41250000,180111000,82599000,68198000,106807000,106807000
2025-10-31,FY2026 Q3,62631000,-0.33,-0.33,33093000,128211000,9165000,-43444000,52063000,-35998000,165756000,-37545000,181889000,44067000,190842000,88596000,106026000,107627000,107627000
2026-04-30,FY2027 Q1,72336000,-0.24,-0.24,30889000,138663000,-49690000,42796000,28126000,-26591000,166177000,-27514000,,46100000,210999000,89188000,35804000,110797000,110797000
