month,form4_and_144_filings,evidence
2021-11,21,statutory (SEC EDGAR)
2022-01,5,statutory (SEC EDGAR)
2022-02,2,statutory (SEC EDGAR)
2022-03,8,statutory (SEC EDGAR)
2022-04,15,statutory (SEC EDGAR)
2022-05,1,statutory (SEC EDGAR)
2022-06,5,statutory (SEC EDGAR)
2022-07,13,statutory (SEC EDGAR)
2022-08,5,statutory (SEC EDGAR)
2022-09,13,statutory (SEC EDGAR)
2022-10,13,statutory (SEC EDGAR)
2022-11,6,statutory (SEC EDGAR)
2022-12,8,statutory (SEC EDGAR)
2023-01,1,statutory (SEC EDGAR)
2023-02,2,statutory (SEC EDGAR)
2023-03,7,statutory (SEC EDGAR)
2023-04,11,statutory (SEC EDGAR)
2023-05,7,statutory (SEC EDGAR)
2023-06,5,statutory (SEC EDGAR)
2023-07,23,statutory (SEC EDGAR)
2023-08,20,statutory (SEC EDGAR)
2023-09,14,statutory (SEC EDGAR)
2023-10,11,statutory (SEC EDGAR)
2023-11,14,statutory (SEC EDGAR)
2023-12,18,statutory (SEC EDGAR)
2024-01,6,statutory (SEC EDGAR)
2024-02,14,statutory (SEC EDGAR)
2024-03,5,statutory (SEC EDGAR)
2024-04,12,statutory (SEC EDGAR)
2024-05,13,statutory (SEC EDGAR)
2024-06,18,statutory (SEC EDGAR)
2024-07,14,statutory (SEC EDGAR)
2024-08,15,statutory (SEC EDGAR)
2024-09,6,statutory (SEC EDGAR)
2024-10,7,statutory (SEC EDGAR)
2024-11,10,statutory (SEC EDGAR)
2024-12,12,statutory (SEC EDGAR)
2025-01,9,statutory (SEC EDGAR)
2025-02,8,statutory (SEC EDGAR)
2025-03,7,statutory (SEC EDGAR)
2025-04,9,statutory (SEC EDGAR)
2025-05,9,statutory (SEC EDGAR)
2025-06,10,statutory (SEC EDGAR)
2025-07,6,statutory (SEC EDGAR)
2025-08,9,statutory (SEC EDGAR)
2025-09,5,statutory (SEC EDGAR)
2025-10,1,statutory (SEC EDGAR)
2025-11,7,statutory (SEC EDGAR)
2025-12,3,statutory (SEC EDGAR)
2026-02,14,statutory (SEC EDGAR)
2026-03,7,statutory (SEC EDGAR)
2026-04,4,statutory (SEC EDGAR)
2026-05,7,statutory (SEC EDGAR)
2026-06,5,statutory (SEC EDGAR)
2026-07,12,statutory (SEC EDGAR)
2026-08,24,statutory (SEC EDGAR)
