repo,number,title,state,created,closed,days_open,comments,labels,author_is_member,url,evidence
braze-flutter-sdk,142,[Feature]: Deprecating BrazePlugin.initBraze(_:) is problematic for Add-to-App projects,open,2026-08-27,,,3,,False,https://github.com/braze-inc/braze-flutter-sdk/issues/142,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,115,[Bug]: getDeviceIdAsync callback never fires on a significant share of app launches,open,2026-08-21,,,0,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/115,"third-party (unsolicited, public issue tracker)"
braze-cordova-sdk,109,Android NPE in BrazePlugin when displaying In-App Message with Capacitor 8,closed,2026-08-20,2026-08-20,0,4,,False,https://github.com/braze-inc/braze-cordova-sdk/issues/109,"third-party (unsolicited, public issue tracker)"
braze-cordova-sdk,108,Expose DISPLAY_LATER (defer + replay) for in-app messages via the Cordova/Capacitor bridge,open,2026-08-17,,,1,,False,https://github.com/braze-inc/braze-cordova-sdk/issues/108,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,114,"[Bug]: DUST/SDK Debugger stream consumer busy-loops at 100% CPU after SSE stream EOF (42.2.0, still in 43.0.0)",closed,2026-08-13,2026-08-19,5,4,,False,https://github.com/braze-inc/braze-android-sdk/issues/114,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,113,[Bug]: OOM from pending-event storage — full-map re-serialization per event + runBlocking writes (reproduced on 40.1.1 and 43.0.0),open,2026-08-11,,,2,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/113,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,112,[Bug]: System back is consumed after an IAM transitions through a blocklisted Activity,closed,2026-07-30,2026-07-31,1,3,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/112,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,330,[Bug]: NPE in Braze requestPushPermission (Activity.requestPermissions off main thread),closed,2026-07-22,2026-07-22,0,2,bug,False,https://github.com/braze-inc/braze-react-native-sdk/issues/330,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,111,[Feature]: Android sdk should provide the `braze_id`,closed,2026-07-21,2026-07-21,0,1,,False,https://github.com/braze-inc/braze-android-sdk/issues/111,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,140,[BUG]: Attempted to call on a destroyed WebView,closed,2026-07-15,2026-07-17,2,1,bug,False,https://github.com/braze-inc/braze-flutter-sdk/issues/140,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,199,[Bug]: iOS 26 version showing title/body of campaign as empty,closed,2026-07-15,2026-07-15,0,5,bug,False,https://github.com/braze-inc/braze-swift-sdk/issues/199,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,329,[Bug]: Custom In App Message UI Behavior Incorrect,closed,2026-07-14,2026-08-21,38,3,bug,False,https://github.com/braze-inc/braze-react-native-sdk/issues/329,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,138,[BUG]: handlePushDeepLinksAutomatically defaults to false,open,2026-07-07,,,1,documentation,False,https://github.com/braze-inc/braze-flutter-sdk/issues/138,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,196,Breaking Change: An upcoming SDK version will raise the minimum OS versions for Xcode 27 compatibility,open,2026-07-06,,,0,,False,https://github.com/braze-inc/braze-swift-sdk/issues/196,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,328,Confirming external_id ↔ APNs token linkage on iOS after account switching,closed,2026-07-03,2026-07-08,5,1,bug,False,https://github.com/braze-inc/braze-react-native-sdk/issues/328,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,135,[Feature]: Migrate to Built-in Kotlin to prevent future AGP 9 build failures,open,2026-06-25,,,1,,False,https://github.com/braze-inc/braze-flutter-sdk/issues/135,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,195,[Bug]: Unable to consume bundle resources with static xcframework,closed,2026-06-24,2026-06-25,1,1,bug,False,https://github.com/braze-inc/braze-swift-sdk/issues/195,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,134,[Bug]: Found AppHang leading to crash during Braze initialization,closed,2026-06-22,2026-06-24,1,2,bug,False,https://github.com/braze-inc/braze-flutter-sdk/issues/134,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,133,[Feature]: Allows the init method to be awaited,open,2026-06-17,,,1,,False,https://github.com/braze-inc/braze-flutter-sdk/issues/133,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,132,[Feature]: Migrate Plugin to Built-in Kotlin,closed,2026-06-15,2026-07-13,27,1,,False,https://github.com/braze-inc/braze-flutter-sdk/issues/132,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,110,[Bug]: User can interact with app behind modal in-app message via assistive technologies (TalkBack),closed,2026-06-14,2026-06-25,11,2,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/110,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,324,[Bug]: iOS: getContentCards() / requestContentCardsRefresh() intermittently hits content_cards/sync rate-limit and fails to return fresh cards — Android never does,closed,2026-06-05,2026-07-13,38,2,bug,False,https://github.com/braze-inc/braze-react-native-sdk/issues/324,"third-party (unsolicited, public issue tracker)"
braze-web-sdk,182,[Bug]: getDeviceId() transiently returns undefined/non-string immediately after requestImmediateDataFlush(),closed,2026-05-27,2026-05-29,1,4,,False,https://github.com/braze-inc/braze-web-sdk/issues/182,"third-party (unsolicited, public issue tracker)"
braze-cordova-sdk,107,Add Swift Package Manager (SPM) support (Package.swift),open,2026-05-26,,,1,,False,https://github.com/braze-inc/braze-cordova-sdk/issues/107,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,131,[Bug]: IAM  webview  ANR :at com.braze.BrazeActivityLifecycleCallbackListener.onActivityPaused (BrazeActivityLifecycleCallbackListener.kt:165),closed,2026-05-19,2026-05-20,1,2,bug,False,https://github.com/braze-inc/braze-flutter-sdk/issues/131,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,109,[Bug]: ADM security vulnerability detected in Braze SDK despite FCM-only integration,closed,2026-05-19,2026-05-19,0,2,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/109,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,323,"Docs: `logContentCardClicked` JSDoc claims clicks require `card.url`, but RN bridge logs clicks regardless",closed,2026-05-15,2026-05-26,10,2,,False,https://github.com/braze-inc/braze-react-native-sdk/issues/323,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,194,[Bug]: BrazeUI source fails to compile against BrazeKit binary on Xcode 26.1 / Swift 6.2 — affects 13.2.0 → 14.1.0,closed,2026-05-12,2026-05-13,0,2,,False,https://github.com/braze-inc/braze-swift-sdk/issues/194,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,108,[Bug]: Compose ContentCardsList Crash,closed,2026-05-07,2026-05-07,0,2,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/108,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,193,[Bug]: Braze.init(configuration:) block main thread in didFinishLaunchingWithOptions,closed,2026-04-23,2026-05-05,11,2,bug,False,https://github.com/braze-inc/braze-swift-sdk/issues/193,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,129,[Bug]: Android: setBrazePluginIsReady can crash with NPE when replaying pending push events,closed,2026-04-09,2026-05-14,35,3,bug,False,https://github.com/braze-inc/braze-flutter-sdk/issues/129,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,103,[Feature]: Update embedded version of com.braze:android-sdk-ui inside com.braze:braze-segment-kotlin,closed,2026-04-08,2026-04-16,8,2,,False,https://github.com/braze-inc/braze-android-sdk/issues/103,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,102,[Bug]: In-App Message - IllegalArgumentException when non-HTML In-App Message contains image,closed,2026-04-06,2026-04-06,0,2,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/102,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,101,[Bug]: ContentCardsList: duplicate key crash due to non-main-thread state mutation in `replaceCards()`,closed,2026-04-02,2026-04-02,0,3,bug,False,https://github.com/braze-inc/braze-android-sdk/issues/101,"third-party (unsolicited, public issue tracker)"
braze-android-sdk,100,[Feature]: Consume content cards from a subscription in a type-agnostic way,closed,2026-03-31,2026-06-01,62,5,,False,https://github.com/braze-inc/braze-android-sdk/issues/100,"third-party (unsolicited, public issue tracker)"
braze-react-native-sdk,317,[Bug]:  type 'Braze.InAppMessage.DismissalReason' has no member 'changeUser',closed,2026-03-26,2026-03-26,0,1,bug,False,https://github.com/braze-inc/braze-react-native-sdk/issues/317,"third-party (unsolicited, public issue tracker)"
braze-swift-sdk,191,HTML in-app messages crash with EXC_BREAKPOINT after changeUser() when re-enqueued messages are presented,closed,2026-03-25,2026-06-02,69,4,,False,https://github.com/braze-inc/braze-swift-sdk/issues/191,"third-party (unsolicited, public issue tracker)"
braze-flutter-sdk,125,[Bug]: `registerPushToken` on iOS sends malformed device token due to incorrect encoding,closed,2026-03-18,2026-04-03,16,5,bug,False,https://github.com/braze-inc/braze-flutter-sdk/issues/125,"third-party (unsolicited, public issue tracker)"
braze-cordova-sdk,103,subscribeToInAppMessage not working as expected with Capacitor.js,closed,2026-03-18,2026-03-19,1,3,,False,https://github.com/braze-inc/braze-cordova-sdk/issues/103,"third-party (unsolicited, public issue tracker)"
braze-expo-plugin,45,"[Bug]: CFBundleShortVersionString not synced with main app, resolves to null",closed,2026-03-16,2026-04-08,23,2,bug,False,https://github.com/braze-inc/braze-expo-plugin/issues/45,"third-party (unsolicited, public issue tracker)"
