name,language,description,created,pushed,archived,stars,forks,open_issues,license,is_sdk,url,evidence
release-notes,Python,Braze Release Notes with information on what is new.,2026-04-13,2026-09-02,False,0,0,1,CC0-1.0,False,https://github.com/braze-inc/release-notes,"company-own (technical, public VCS)"
braze-cordova-sdk,Kotlin,Public repo for the Braze Cordova SDK,2016-02-05,2026-09-01,False,27,66,5,NOASSERTION,True,https://github.com/braze-inc/braze-cordova-sdk,"company-own (technical, public VCS)"
redis-cluster-client,Ruby,Redis cluster-aware client for Ruby,2026-05-20,2026-09-01,False,0,0,4,MIT,False,https://github.com/braze-inc/redis-cluster-client,"company-own (technical, public VCS)"
braze-xamarin-sdk,Objective-C,Xamarin bindings for the Braze Android and iOS SDKs,2015-01-21,2026-08-25,False,3,6,0,NOASSERTION,True,https://github.com/braze-inc/braze-xamarin-sdk,"company-own (technical, public VCS)"
braze-segment-swift,Swift,A Segment Swift destination plugin for Braze,2022-06-09,2026-08-24,False,3,17,1,NOASSERTION,True,https://github.com/braze-inc/braze-segment-swift,"company-own (technical, public VCS)"
braze-react-native-sdk,Kotlin,Public repo for the Braze React Native SDK,2016-02-15,2026-08-21,False,126,92,2,NOASSERTION,True,https://github.com/braze-inc/braze-react-native-sdk,"company-own (technical, public VCS)"
braze-web-sdk,HTML,Public repo for the Braze Web SDK,2015-05-12,2026-08-20,False,85,31,8,NOASSERTION,True,https://github.com/braze-inc/braze-web-sdk,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,"Braze SDK for the Apple ecosystem, including: iOS, macOS, iPadOS, visionOS, tvOS",2022-02-08,2026-08-20,False,72,25,2,NOASSERTION,True,https://github.com/braze-inc/braze-swift-sdk,"company-own (technical, public VCS)"
braze-android-sdk,Kotlin,,2023-03-13,2026-08-20,False,31,23,2,NOASSERTION,True,https://github.com/braze-inc/braze-android-sdk,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,,2023-11-26,2026-08-20,False,1,0,0,NOASSERTION,True,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,,2023-11-26,2026-08-20,False,0,0,0,NOASSERTION,True,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,,2024-03-21,2026-08-20,False,1,0,0,NOASSERTION,True,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable,"company-own (technical, public VCS)"
braze-vega-sdk,,Public repo for the Braze Vega SDK,2025-11-03,2026-08-19,False,0,0,0,NOASSERTION,True,https://github.com/braze-inc/braze-vega-sdk,"company-own (technical, public VCS)"
