panel,record,chars,rating,segment,complaints,praise,evidence
g2,1,1437,4.5,,learning curve|reporting / export|feature gaps,ease of use|support|orchestration|personalisation|analytics|AI features,third-party (review panel)
g2,2,1313,4.5,enterprise,,orchestration|personalisation|AI features,third-party (review panel)
g2,3,2365,4,small business,implementation|reporting / export|speed / performance,support|analytics|AI features,third-party (review panel)
g2,4,1837,4.5,mid market,reporting / export,orchestration|personalisation|analytics|AI features,third-party (review panel)
g2,5,1329,5,enterprise,learning curve|reporting / export|price / cost,ease of use|orchestration|personalisation,third-party (review panel)
g2,6,1384,4,enterprise,feature gaps,orchestration|personalisation|AI features,third-party (review panel)
gartner,1,3151,4.5,,reporting / export|templates / editor|documentation,ease of use|orchestration|channels / reach|reliability|AI features,third-party (review panel)
github_issues,1,2303,,,,,third-party (review panel)
github_issues,2,2113,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,3,2107,,,,,third-party (review panel)
github_issues,4,2121,,,implementation|documentation,,third-party (review panel)
github_issues,5,2143,,,bugs / reliability,,third-party (review panel)
github_issues,6,2161,,,price / cost|bugs / reliability,,third-party (review panel)
github_issues,7,2119,,,bugs / reliability,orchestration,third-party (review panel)
github_issues,8,2125,,,bugs / reliability,,third-party (review panel)
github_issues,9,671,,,implementation,,third-party (review panel)
github_issues,10,2080,,,bugs / reliability,reliability,third-party (review panel)
github_issues,11,722,,,bugs / reliability,,third-party (review panel)
github_issues,12,2088,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,13,2088,,,speed / performance|documentation|bugs / reliability,,third-party (review panel)
github_issues,14,1262,,,,,third-party (review panel)
github_issues,15,2112,,,,,third-party (review panel)
github_issues,16,1277,,,implementation|documentation,,third-party (review panel)
github_issues,17,2096,,,bugs / reliability,,third-party (review panel)
github_issues,18,2098,,,bugs / reliability,,third-party (review panel)
github_issues,19,335,,,,,third-party (review panel)
github_issues,20,1170,,,implementation|documentation,,third-party (review panel)
github_issues,21,598,,,bugs / reliability,,third-party (review panel)
github_issues,22,2116,,,bugs / reliability,,third-party (review panel)
github_issues,23,2136,,,bugs / reliability,reliability,third-party (review panel)
github_issues,24,1443,,,implementation|documentation,,third-party (review panel)
github_issues,25,2175,,,bugs / reliability,,third-party (review panel)
github_issues,26,2117,,,documentation|bugs / reliability,,third-party (review panel)
github_issues,27,2144,,,reporting / export|documentation,,third-party (review panel)
github_issues,28,2145,,,speed / performance|bugs / reliability,,third-party (review panel)
github_issues,29,925,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,30,2115,,,templates / editor|bugs / reliability,,third-party (review panel)
github_issues,31,2124,,,bugs / reliability,,third-party (review panel)
github_issues,32,958,,,,,third-party (review panel)
github_issues,33,2125,,,bugs / reliability,analytics,third-party (review panel)
github_issues,34,2135,,,reporting / export|bugs / reliability,,third-party (review panel)
github_issues,35,2108,,,,,third-party (review panel)
github_issues,36,2114,,,feature gaps|bugs / reliability,,third-party (review panel)
github_issues,37,2136,,,,,third-party (review panel)
github_issues,38,2120,,,implementation|bugs / reliability,,third-party (review panel)
github_issues,39,1001,,,,,third-party (review panel)
github_issues,40,2108,,,templates / editor|bugs / reliability,orchestration,third-party (review panel)
