kind,theme,records,pct_of_records,denominator,evidence
complaint,bugs / reliability,432,50.2,860,third-party (review panel)
complaint,documentation,177,20.6,860,third-party (review panel)
complaint,implementation,132,15.3,860,third-party (review panel)
complaint,reporting / export,115,13.4,860,third-party (review panel)
complaint,feature gaps,76,8.8,860,third-party (review panel)
complaint,speed / performance,33,3.8,860,third-party (review panel)
complaint,templates / editor,11,1.3,860,third-party (review panel)
complaint,price / cost,5,0.6,860,third-party (review panel)
complaint,support,4,0.5,860,third-party (review panel)
complaint,learning curve,2,0.2,860,third-party (review panel)
complaint,segmentation,0,0.0,860,third-party (review panel)
praise,analytics,33,3.8,860,third-party (review panel)
praise,AI features,26,3.0,860,third-party (review panel)
praise,orchestration,18,2.1,860,third-party (review panel)
praise,reliability,17,2.0,860,third-party (review panel)
praise,personalisation,9,1.0,860,third-party (review panel)
praise,ease of use,5,0.6,860,third-party (review panel)
praise,support,3,0.3,860,third-party (review panel)
praise,channels / reach,2,0.2,860,third-party (review panel)
praise,segmentation power,0,0.0,860,third-party (review panel)
praise,integrations,0,0.0,860,third-party (review panel)
