repo,platform,tag,published,prerelease,body_bytes,url,evidence
braze-cordova-sdk,Kotlin,17.0.0,2026-09-01,False,2199,https://github.com/braze-inc/braze-cordova-sdk/releases/tag/17.0.0,"company-own (technical, public VCS)"
braze-xamarin-sdk,Objective-C,10.0.0,2026-08-25,False,1192,https://github.com/braze-inc/braze-xamarin-sdk/releases/tag/10.0.0,"company-own (technical, public VCS)"
braze-segment-swift,Swift,10.0.0,2026-08-24,False,403,https://github.com/braze-inc/braze-segment-swift/releases/tag/10.0.0,"company-own (technical, public VCS)"
braze-react-native-sdk,Kotlin,23.0.0,2026-08-21,False,1140,https://github.com/braze-inc/braze-react-native-sdk/releases/tag/23.0.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,18.2.0,2026-08-20,False,1426,https://github.com/braze-inc/braze-swift-sdk/releases/tag/18.2.0,"company-own (technical, public VCS)"
braze-android-sdk,Kotlin,v43.1.1,2026-08-20,False,231,https://github.com/braze-inc/braze-android-sdk/releases/tag/v43.1.1,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,18.2.0,2026-08-20,False,1426,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/18.2.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,18.2.0,2026-08-20,False,1426,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/18.2.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,18.2.0,2026-08-20,False,1426,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/18.2.0,"company-own (technical, public VCS)"
braze-android-sdk,Kotlin,v43.1.0,2026-08-19,False,1864,https://github.com/braze-inc/braze-android-sdk/releases/tag/v43.1.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,18.1.0,2026-08-11,False,1635,https://github.com/braze-inc/braze-swift-sdk/releases/tag/18.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,18.1.0,2026-08-11,False,1635,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/18.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,18.1.0,2026-08-11,False,1635,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/18.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,18.1.0,2026-08-11,False,1635,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/18.1.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,18.0.0,2026-07-29,False,2436,https://github.com/braze-inc/braze-swift-sdk/releases/tag/18.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,18.0.0,2026-07-29,False,2436,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/18.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,18.0.0,2026-07-29,False,2436,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/18.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,18.0.0,2026-07-29,False,2436,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/18.0.0,"company-own (technical, public VCS)"
braze-android-sdk,Kotlin,v43.0.0,2026-07-15,False,4616,https://github.com/braze-inc/braze-android-sdk/releases/tag/v43.0.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,17.0.0,2026-07-06,False,2386,https://github.com/braze-inc/braze-swift-sdk/releases/tag/17.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,17.0.0,2026-07-06,False,2386,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/17.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,17.0.0,2026-07-06,False,2386,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/17.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,17.0.0,2026-07-06,False,2386,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/17.0.0,"company-own (technical, public VCS)"
braze-react-native-sdk,Kotlin,22.0.0,2026-06-29,False,1473,https://github.com/braze-inc/braze-react-native-sdk/releases/tag/22.0.0,"company-own (technical, public VCS)"
braze-segment-swift,Swift,9.0.0,2026-06-25,False,453,https://github.com/braze-inc/braze-segment-swift/releases/tag/9.0.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,16.0.0,2026-06-25,False,790,https://github.com/braze-inc/braze-swift-sdk/releases/tag/16.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,16.0.0,2026-06-25,False,790,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/16.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,16.0.0,2026-06-25,False,790,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/16.0.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,16.0.0,2026-06-25,False,790,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/16.0.0,"company-own (technical, public VCS)"
braze-react-native-sdk,Kotlin,21.1.0,2026-06-22,False,529,https://github.com/braze-inc/braze-react-native-sdk/releases/tag/21.1.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,15.2.0,2026-06-22,False,481,https://github.com/braze-inc/braze-swift-sdk/releases/tag/15.2.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,15.2.0,2026-06-22,False,481,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/15.2.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,15.2.0,2026-06-22,False,481,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/15.2.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,15.2.0,2026-06-22,False,481,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/15.2.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,15.1.0,2026-06-11,False,1439,https://github.com/braze-inc/braze-swift-sdk/releases/tag/15.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-dynamic,Ruby,15.1.0,2026-06-11,False,1620,https://github.com/braze-inc/braze-swift-sdk-prebuilt-dynamic/releases/tag/15.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-static,Ruby,15.1.0,2026-06-11,False,1620,https://github.com/braze-inc/braze-swift-sdk-prebuilt-static/releases/tag/15.1.0,"company-own (technical, public VCS)"
braze-swift-sdk-prebuilt-mergeable,Ruby,15.1.0,2026-06-11,False,1620,https://github.com/braze-inc/braze-swift-sdk-prebuilt-mergeable/releases/tag/15.1.0,"company-own (technical, public VCS)"
braze-react-native-sdk,Kotlin,21.0.0,2026-06-08,False,1005,https://github.com/braze-inc/braze-react-native-sdk/releases/tag/21.0.0,"company-own (technical, public VCS)"
braze-swift-sdk,Swift,15.0.1,2026-06-03,False,356,https://github.com/braze-inc/braze-swift-sdk/releases/tag/15.0.1,"company-own (technical, public VCS)"
