name,group,status,created_at,description,evidence
Dashboard,US 01 Cluster,operational,2014-03-07,Braze Dashboard available at https://dashboard.braze.com or https://dashboard-01.braze.com,company-own (operational)
Dashboard,US 02 Cluster,operational,2017-10-03,Braze Dashboard available at https://dashboard-02.braze.com,company-own (operational)
Dashboard,US 03 Cluster,operational,2017-10-03,Braze Dashboard available at https://dashboard-03.braze.com,company-own (operational)
Dashboard,US 04 Cluster,operational,2017-10-03,Braze Dashboard available at https://dashboard-04.braze.com,company-own (operational)
Dashboard,EU 01 Cluster,operational,2017-10-03,Braze Dashboard available at https://dashboard.braze.eu or https://dashboard-01.braze.eu,company-own (operational)
Dashboard,US 06 Cluster,operational,2018-12-05,Dashboard available at https://dashboard-06.braze.com,company-own (operational)
Dashboard,US 08 Cluster,operational,2019-11-05,Braze Dashboard available at https://dashboard-08.braze.com,company-own (operational)
Dashboard,US 05 Cluster,operational,2021-04-30,Braze Dashboard available at https://dashboard-05.braze.com,company-own (operational)
Dashboard,EU 02 Cluster,operational,2022-05-26,Braze Dashboard available at https://dashboard-02.braze.eu,company-own (operational)
Dashboard,US 07 Cluster,operational,2023-10-24,Braze Dashboard available at https://dashboard-07.braze.com,company-own (operational)
Global Services,,operational,2024-07-03,Braze global services,company-own (operational)
Braze.com,Global Services,operational,2024-07-03,Braze website,company-own (operational)
Email,Global Messaging Channels,operational,2024-07-03,3rd party and cross cluster services supporting Email messaging,company-own (operational)
Dashboard,AU 01 Cluster,operational,2025-01-23,Braze Dashboard available at dashboard.au-01.braze.com,company-own (operational)
Dashboard,US 10 Cluster,operational,2025-05-27,Braze dashboard available at https://dashboard.us-10.braze.com,company-own (operational)
Dashboard,ID 01 Cluster,operational,2025-05-27,Braze dashboard available at https://dashboard.id-01.braze.com,company-own (operational)
Dashboard,JP 01 Cluster,operational,2026-02-27,Braze Dashboard available at https://dashboard.jp-01.braze.com,company-own (operational)
Dashboard,KR 01 Cluster,operational,2026-06-09,Braze Dashboard available at dashboard.kr-01.braze.com,company-own (operational)
SDK Data Collection,US 01 Cluster,operational,2014-03-07,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 02 Cluster,operational,2017-10-03,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
SDK Data Collection,US 03 Cluster,operational,2017-10-03,"Data collection from Braze SDKs. If this service is unavailable, devices will store data locally.",company-own (operational)
