host,first_seen,issuer,apex,source,certs,evidence
braze.com,2025-08-06,"C=US, O=Amazon, CN=Amazon RSA 2048 M02",braze.com,certspotter,4,infrastructure (certificate transparency)
clicks.partnernews.braze.com,2025-10-06,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Atlas R3 DV TLS CA 2025 Q3",braze.com,certspotter,1,infrastructure (certificate transparency)
lab.braze.com,2025-10-15,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
cloudbound.nasuni.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
connectorsummit23.crossbeam.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
forge-amer-reg.globalevents.braze.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
forge-emea-reg.globalevents.braze.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
forge-hub.globalevents.braze.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
forge.globalevents.braze.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
marketingsuccess.mailchimp.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,3,infrastructure (certificate transparency)
mtesregistration.kobiton.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
registration.calendly.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
rko2024registration.ontra.ai,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
webinars.decrypt.co,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
webinars.lattice.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
wms-unpackedregistration.shipbob.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
www.ai-summit.goldcast.io,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
www.goldcast.over-haul.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
www.mailchimpmarketingsuccess.com,2025-10-20,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
partnerlab.braze.com,2025-10-24,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
view2023.birdeye.com,2025-11-04,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,2,infrastructure (certificate transparency)
view2023registration.birdeye.com,2025-11-04,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
confluence-uat.braze.com,2025-11-30,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
confluence.atl.braze.com,2025-11-30,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
jira-uat.braze.com,2025-12-09,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
jira.atl.braze.com,2025-12-09,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
arxkc89723.stage.lithium.com,2025-12-15,"C=US, O=Amazon, CN=Amazon ECDSA 256 M01",braze.com,certspotter,3,infrastructure (certificate transparency)
community-stage.braze.com,2025-12-15,"C=US, O=Amazon, CN=Amazon ECDSA 256 M01",braze.com,certspotter,3,infrastructure (certificate transparency)
learning.braze.com,2026-01-19,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
ablink.internal.braze.com,2026-01-20,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Atlas R3 DV TLS CA 2026 Q1",braze.com,certspotter,1,infrastructure (certificate transparency)
brand.braze.com,2026-01-21,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
braze.bynder.com,2026-01-21,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events-app.braze.com,2026-01-28,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
portal.help.braze.com,2026-02-17,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
click.updates.braze.com,2026-02-18,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Atlas R3 DV TLS CA 2026 Q1",braze.com,certspotter,1,infrastructure (certificate transparency)
mail.development.braze.com,2026-02-18,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Atlas R3 DV TLS CA 2026 Q1",braze.com,certspotter,1,infrastructure (certificate transparency)
help.platform.braze.com,2026-02-19,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,2,infrastructure (certificate transparency)
platform.braze.com,2026-02-19,"C=US, O=Amazon, CN=Amazon RSA 2048 M04",braze.com,certspotter,1,infrastructure (certificate transparency)
attend.agiloft.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
attend.intercomevents.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
attendelevate.medallion.co,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
autoqa.supportlogic.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
beyondtheperimeter2023.events.ams.goldcast.io,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
beyondtheperimeter2023.events.apj.goldcast.io,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
beyondtheperimeter2023.events.emea.goldcast.io,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
bfcm-unpacked.shipbob.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
creatorexperienceconference.traackr.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
demofest.consensus.io,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
event.betterup.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
event.enterprisegrowthalliance.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
event.hwcon22.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
event.ontra.ai,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.alation.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.emburse.io,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.jebbit.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.nasuni.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.phenom.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.prod.gcpublic.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
events.sysaid.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
forge-amer.globalevents.braze.com,2026-04-01,"C=US, O=Amazon, CN=Amazon RSA 2048 M01",braze.com,certspotter,1,infrastructure (certificate transparency)
